time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025200,565.5,465.3,1271.0,178.9,2373.7,66.0,3865.6,423.6,585.6,1278.5,2389.1,3899.5,164.1,85.5,4.3
0.027200,590.1,417.4,1288.8,214.3,2381.7,68.0,3887.2,386.9,590.7,1286.1,2391.5,3894.4,164.3,86.2,3.9
0.029200,606.1,374.0,1306.7,245.0,2395.9,71.0,3898.0,378.7,598.8,1298.3,2395.8,3887,164.6,86.7,4
0.031200,617.1,341.5,1322.9,271.9,2413.0,75.0,3900.1,388.1,609.3,1314.6,2402,3878.7,164.8,87.1,4.2
0.033200,627.6,314.0,1338.2,302.9,2427.4,81.2,3894.7,408.8,621.6,1334.1,2410.6,3870.8,165.1,87.4,4.7
0.035200,639.1,284.6,1353.6,337.7,2435.5,90.1,3882.8,437.3,634.8,1356,2421.5,3864.8,165.3,87.6,5.3
0.037200,651.5,248.9,1372.1,370.5,2439.9,102.6,3864.1,474.5,648.2,1379.1,2434.8,3861.4,165.6,87.7,6.3
0.039200,662.3,213.6,1392.8,391.1,2445.7,117.5,3843.5,513.0,661,1402.6,2450.2,3860.7,165.9,87.8,7.7
0.041200,672.0,185.9,1414.2,401.5,2458.4,131.8,3834.5,545.9,672.8,1425.3,2467.1,3861.7,166.2,87.8,9.5
0.043200,681.6,168.9,1437.7,413.3,2477.8,142.2,3846.8,572.8,683.1,1446.4,2484.9,3863.2,166.4,87.9,11.5
0.045200,690.3,159.5,1463.0,431.1,2497.6,148.4,3867.8,588.7,691.7,1465,2502.6,3862.9,166.7,88,13.4
0.047200,697.0,151.4,1488.6,447.6,2515.8,152.7,3875.3,593.7,698.5,1480.5,2519.2,3858.6,167,88.1,14.8
0.049200,700.6,142.7,1507.9,452.1,2531.7,156.4,3858.9,600.7,703.8,1492.3,2534,3848.2,167.3,88.2,15.7
0.051200,702.5,136.7,1517.3,443.7,2545.5,160.9,3829.0,621.0,707.7,1500.2,2546.1,3830.3,167.5,88.2,16.3
0.053200,704.6,137.6,1515.8,428.0,2556.0,167.6,3799.1,657.4,710.5,1504.1,2555.2,3804.4,167.8,88.2,16.7
0.055200,708.5,147.9,1505.5,406.2,2564.0,178.3,3767.9,709.0,712.5,1504.1,2561.2,3770.9,168.1,88.2,17
0.057200,714.3,166.4,1491.7,381.3,2569.3,195.1,3732.2,759.3,713.9,1500.4,2564.4,3731.6,168.3,88.2,17.2
0.059200,719.6,188.1,1479.3,358.2,2571.5,220.0,3689.6,791.9,715,1493.3,2565.3,3689.3,168.6,88.1,17.4
0.061200,722.8,208.7,1469.8,340.8,2569.6,253.1,3644.4,799.2,715.8,1483.6,2564.6,3647.2,168.9,88,17.6
0.063200,723.6,226.9,1462.2,328.8,2564.8,287.9,3608.2,783.7,716.1,1471.8,2563.3,3609.1,169.1,87.9,17.6
0.065200,722.2,243.1,1454.5,316.0,2559.9,319.7,3583.3,750.7,715.9,1458.7,2562.2,3578.4,169.4,87.8,17.6
0.067200,718.6,254.1,1446.3,297.4,2556.9,343.1,3566.3,707.1,714.8,1445,2562,3557.7,169.6,87.8,17.4
0.069200,713.2,257.5,1437.3,272.2,2556.7,355.3,3554.3,659.3,712.6,1431.5,2563,3548.8,169.9,87.7,17
0.071200,706.0,250.3,1427.5,240.6,2561.1,350.9,3550.8,610.3,709,1418.9,2565.4,3552,170.2,87.6,16.3
0.073200,697.5,231.6,1417.5,205.2,2568.8,325.4,3558.2,563.4,703.8,1407.8,2569.1,3566.2,170.4,87.4,15.6
0.075200,687.6,203.2,1406.7,168.2,2576.1,278.8,3577.0,519.4,696.7,1398.8,2573.3,3589.2,170.7,87.3,14.9
0.077200,678.3,173.1,1396.8,136.4,2580.3,223.8,3606.5,481.9,687.9,1392.2,2577.6,3618.2,170.9,87.1,14.3
0.079200,670.2,146.8,1388.8,111.4,2582.6,171.3,3646.6,443.4,677.3,1388.1,2581.1,3649.5,171.1,86.9,13.8
0.081200,663.2,126.4,1383.8,92.7,2583.6,128.5,3689.6,401.1,665.3,1386.7,2583.3,3679.8,171.4,86.6,13.5
0.083200,655.7,107.9,1382.1,76.9,2582.5,95.3,3724.2,362.4,652.3,1387.6,2583.5,3706.3,171.6,86.3,13.1
0.085200,647.0,91.7,1384.0,64.7,2580.6,73.9,3740.8,346.8,638.7,1390.5,2581.7,3727,171.8,86,12.7
0.087200,636.5,80.2,1388.2,57.9,2578.7,62.7,3742.1,363.4,625.1,1394.9,2578,3741,172.1,85.7,12
0.089200,624.0,75.6,1393.5,58.1,2575.9,59.5,3736.4,414.0,612.3,1400.2,2572.8,3748.6,172.3,85.3,11
0.091200,610.1,77.6,1399.8,65.9,2570.6,60.7,3734.6,491.0,600.7,1405.7,2566.8,3750.8,172.5,84.9,9.7
0.093200,595.0,84.6,1407.8,81.6,2561.8,62.1,3743.7,576.2,591.1,1410.8,2561,3749.5,172.7,84.5,8.3
0.095200,581.3,93.7,1417.1,102.3,2553.5,60.9,3753.5,625.0,583.8,1414.9,2556,3746.7,172.9,84,7.1
0.097200,570.1,103.8,1425.5,124.6,2549.7,59.1,3749.1,633.9,579.2,1417.5,2552.7,3744.2,173,83.4,6.1
0.099200,562.4,117.8,1428.3,147.1,2550.5,59.7,3745.1,645.8,577.7,1418.4,2551.5,3743.2,173.2,82.7,5.6
