time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025540,546.2,424.8,1225.8,183.6,2528.8,435.9,3651.7,386.5,636.1,1261.5,2417.8,3617,205.2,83,3.6
0.027540,553.2,412.3,1224.9,232.2,2498.7,393.5,3602.8,420.3,637.1,1261.1,2417.8,3614,205.3,83.7,5.1
0.029540,579.4,398.4,1232.4,300.7,2466.7,386.6,3571.7,469.7,638.6,1260.5,2417.9,3609.1,205.3,84.4,6.5
0.031540,609.3,379.2,1245.3,354.0,2435.6,379.9,3555.1,497.8,640.7,1259.6,2418.1,3602.3,205.4,84.9,7.8
0.033540,630.4,361.9,1255.0,346.4,2411.7,346.8,3545.6,465.7,643.4,1258.5,2418.3,3593.8,205.5,85.4,9.1
0.035540,644.6,357.5,1256.2,299.0,2394.7,297.4,3538.0,393.5,646.6,1257.4,2418.5,3583.7,205.7,85.9,10.1
0.037540,654.7,366.2,1252.1,259.2,2379.9,258.0,3533.8,325.5,650.2,1256.2,2418.9,3572.3,205.9,86.2,10.8
0.039540,661.5,380.1,1246.6,233.9,2365.3,233.4,3537.2,274.6,654.3,1255,2419.5,3559.7,206.1,86.5,11.1
0.041540,666.1,390.7,1242.5,217.7,2357.0,222.3,3552.8,245.5,658.6,1253.9,2420.2,3546.2,206.3,86.7,11.1
0.043540,671.1,395.6,1242.6,207.1,2362.7,223.2,3580.9,237.9,663.3,1253.1,2421.1,3532,206.5,86.9,10.8
0.045540,678.2,401.3,1247.5,205.7,2380.5,235.7,3608.7,247.4,668.1,1252.5,2422.2,3517.4,206.8,87,10.5
0.047540,689.3,426.3,1255.6,221.9,2400.0,265.6,3618.9,276.0,673,1252.4,2423.6,3502.6,207.1,87.1,10.2
0.049540,708.9,492.3,1262.9,264.8,2411.7,322.5,3593.9,330.8,678,1252.7,2425.3,3488,207.4,87.1,10
0.051540,742.4,613.9,1261.3,332.8,2414.0,407.4,3530.2,395.5,683,1253.6,2427.3,3473.8,207.7,87.1,9.9
0.053540,783.6,771.6,1247.4,386.9,2412.8,493.8,3461.8,432.1,687.8,1255.3,2429.7,3460.2,208.1,87,9.7
0.055540,809.5,906.3,1239.6,390.2,2419.2,568.4,3411.9,442.4,692.4,1257.6,2432.4,3447.6,208.4,87,9.4
0.057540,802.8,886.7,1257.5,360.3,2440.1,623.9,3382.8,440.5,696.8,1260.9,2435.6,3436.2,208.8,86.9,8.9
0.059540,780.7,724.6,1288.7,322.0,2469.8,653.8,3369.7,435.1,700.8,1265,2439.2,3426.2,209.2,87,8
0.061540,754.8,531.6,1315.6,279.2,2486.2,636.6,3367.9,420.3,704.5,1270.1,2443.3,3417.7,209.5,87,7
0.063540,730.7,380.3,1329.4,244.0,2471.9,558.5,3374.9,382.1,707.6,1276.2,2447.8,3411,209.9,87.1,5.8
0.065540,707.2,269.9,1333.8,217.6,2447.6,452.7,3388.9,329.5,710.3,1283.4,2452.8,3406.2,210.3,87.1,4.8
0.067540,684.5,193.0,1331.2,195.7,2436.8,371.9,3400.8,300.1,712.5,1291.6,2458.2,3403.4,210.7,87.2,4.1
0.069540,667.4,144.0,1329.6,179.7,2457.8,331.3,3413.7,307.8,714.1,1300.9,2464.1,3402.7,211,87.3,3.7
0.071540,660.4,119.5,1338.8,170.9,2501.7,333.4,3433.7,352.1,715.1,1311.3,2470.5,3404.1,211.3,87.4,3.6
0.073540,660.9,109.0,1358.8,162.1,2535.0,368.0,3437.4,410.2,715.5,1322.7,2477.2,3407.5,211.6,87.5,3.7
0.075540,666.4,114.0,1379.6,159.8,2527.5,422.3,3407.0,418.1,715.3,1335.1,2484.4,3413.1,211.9,87.5,3.8
0.077540,673.9,133.7,1391.3,168.8,2473.3,442.7,3366.9,353.8,714.5,1348.4,2492,3420.6,212.1,87.5,3.9
0.079540,679.7,159.9,1393.8,188.1,2423.6,418.4,3344.5,298.7,713.1,1362.7,2499.9,3430.1,212.3,87.5,4
