"inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word"
"bnew_01,bnew_01_0001,ɔ,2,0.07815562229751549,37.12740474644154,37.20556036873906,-,-,0,worse,92,37.07,38.28,-,according"
"bnew_01,bnew_01_0002,ɔ,4,0.09937295362939835,91.41508740409519,91.51446035772459,-,-,0,urge,216,91.43,91.47384046764383,-,the"
"bnew_01,bnew_01_0003,ɒ,6,0.08547874237785891,159.16367944101123,159.24915818338908,-,-,0,thursday,353,158.9,159.29,-,on"
"bnew_01,bnew_01_0004,ɒ,8,0.07999999999998408,161.33,161.41,-,-,0,occurred,363,161.11,161.48,-,close"
"bnew_01,bnew_01_0005,ɑ,10,0.10857548829096686,182.96,183.06857548829097,-,-,0,swerved,417,182.83,183.24,mechanic,-"
"bnew_01,bnew_01_0006,ɒ,12,0.09639157422424205,219.53360842577575,219.63,-,-,0,working,491,219.4,219.91,already,-"
"bnew_01,bnew_01_0007,ɛ,14,0.1399121115588855,286.64151166833057,286.78142377988945,-,-,0,person,607,286.67,286.8,twenty,three"
"bnew_01,bnew_01_0008,ɛ,16,0.09303888863422571,294.73,294.82303888863424,-,-,0,earlier,627,294.73,295.08,had,taken"
"bnew_01,bnew_01_0009,ɑ,18,0.2911619662244789,300.3112495718652,300.60241153808965,-,-,0,transferred,641,299.77,300.6196930917357,illegally,into"
"bnew_03,bnew_03_0001,ɛ,2,0.07000000000005002,810.28,810.35,-,-,0,personnel,1619,810.17,810.69,and,-"
"bnew_03,bnew_03_0002,æ,4,0.11000000000001364,814.96,815.07,-,-,0,Sir,1633,814.82,815.07,commissioner,Samuel"
"bnew_03,bnew_03_0003,ɒ,6,0.2034353565162519,869.5335224562368,869.7369578127531,-,-,0,work,1720,869.47,869.81,of,-"
"bnew_03,bnew_03_0004,ɒ,8,0.08999999999991815,871.19,871.28,-,-,0,third,1728,871.07,871.31,the,-"
"bnew_03,bnew_03_0005,ɒ,10,0.10000000000002274,874.38,874.48,-,-,0,third,1741,874.23,874.51,the,-"
"bnew_03,bnew_03_0006,ɑ,12,0.10000000000002274,878.42,878.52,-,-,0,Sir,1754,878.28,878.52,-,Samuel"
"bnew_05,bnew_05_0001,ɒ,2,0.16000000000000014,14.87,15.03,-,-,0,return,33,14.68,15.1,governments,-"
"bnew_05,bnew_05_0002,ɛ,4,0.18999999999999773,32.02,32.21,-,-,0,interpret,73,31.78,32.45,to,is"
