file_name,time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
bnew_05_0001,0.026011,447.6,183,1595.2,477.9,2592,521.8,3825.3,488.5,440.8,1661.1,2632,3906.3,235.2,68.1,-195
bnew_05_0001,0.028011,435.7,128.2,1614.7,480.2,2605.6,515.5,3843,478.5,441.9,1658.4,2629.1,3905.3,235.1,69.5,-161.7
bnew_05_0001,0.030011,437.8,98.8,1659.4,498.5,2631.1,536.9,3876.5,458.1,443.9,1653.9,2624.4,3903.7,234.9,71.2,-109.6
bnew_05_0001,0.032011,446.7,75.9,1694.7,461.3,2641.6,522.9,3881.1,420.3,446.6,1647.6,2618,3901.4,234.7,72.9,-53.3
bnew_05_0001,0.034011,456.8,55.8,1695.8,406.4,2617.5,508.4,3866,357.4,450.1,1639.7,2610.1,3898.4,234.6,74.5,-7.5
bnew_05_0001,0.036011,464.9,41.5,1678.9,371,2585.8,515,3856.9,285.9,454.4,1630.2,2600.8,3894.7,234.4,76,15.6
bnew_05_0001,0.038011,470.7,33.4,1656.9,355.3,2577.4,540,3859.6,237.5,459.5,1619.3,2590.4,3890.4,234.1,77.3,23.5
bnew_05_0001,0.040011,474.8,30,1627.9,352.1,2602.1,573.1,3868.7,222.2,465.4,1607.1,2579.2,3885.3,233.9,78.4,22.6
bnew_05_0001,0.042011,478.1,28.9,1581.7,360.4,2643.1,600.5,3883.8,239.4,472.2,1593.8,2567.3,3879.4,233.6,79.4,17.6
bnew_05_0001,0.044011,480.6,29.2,1530.7,383,2651.7,612.3,3905.5,288.2,479.6,1579.4,2555.2,3872.9,233.2,80.2,13.4
bnew_05_0001,0.046011,483.3,31,1500.5,404,2609.1,614,3932.3,362.1,487.9,1564.2,2543,3865.7,232.9,80.9,13.5
bnew_05_0001,0.048011,487.4,35.1,1498.5,394.9,2555.3,606.3,3960.7,451.8,496.8,1548.3,2531,3857.7,232.5,81.4,14.5
bnew_05_0001,0.050011,493,41.3,1505.1,360.8,2516.5,611.6,3982.2,558.7,506.4,1531.9,2519.6,3849.2,232.1,81.8,15.5
bnew_05_0001,0.052011,501,50,1507.9,322.9,2485.5,660.9,3987.4,700,516.6,1515.2,2508.9,3840.1,231.7,82.1,16.3
bnew_05_0001,0.054011,510.8,60.8,1507.6,297.3,2458.4,778.5,3954.9,827.5,527.2,1498.4,2499.1,3830.5,231.2,82.3,16.8
bnew_05_0001,0.056011,522.6,73.4,1508.2,285.8,2430.7,976.7,3877.2,880.3,538.2,1481.6,2490.5,3820.6,230.7,82.4,16.9
bnew_05_0001,0.058011,536.8,87.1,1508.5,285.9,2393.5,1224.4,3789.5,843.4,549.5,1465,2483.2,3810.3,230.2,82.5,16.6
bnew_05_0001,0.060011,553.2,99.5,1503.4,299.3,2342.8,1433.9,3745.5,776.2,561,1448.7,2477.3,3800,229.6,82.5,15.9
bnew_05_0001,0.062011,570.1,107,1485,321.8,2311.3,1466.2,3747.9,736,572.4,1432.9,2472.8,3789.6,229,82.6,15.2
bnew_05_0001,0.064011,589.3,107.3,1442.8,320.7,2351.3,1186,3759.4,672.8,583.6,1417.7,2469.7,3779.5,228.4,82.6,14.8
bnew_05_0001,0.066011,607.6,101,1396.8,282.5,2435.2,878,3758.6,610.9,594.5,1403.2,2468.1,3769.6,227.8,82.7,14.7
bnew_05_0001,0.068011,622,92.7,1362.9,240.9,2513.7,693.2,3743.4,591.3,605,1389.5,2467.8,3760.3,227.1,82.8,15.1
bnew_05_0001,0.070011,632.4,84.8,1342,208.1,2572.2,610.2,3716.7,626.9,614.8,1376.6,2468.7,3751.7,226.5,83,15.7
bnew_05_0001,0.072011,639.4,77.7,1331.4,182.8,2609.7,596.2,3686.1,701.4,623.9,1364.6,2470.8,3743.9,225.8,83.2,16.2
bnew_05_0001,0.074011,645.1,69.4,1326.8,155.9,2624.1,612,3662.1,736.9,632,1353.5,2473.8,3737.1,225.1,83.4,16.6
bnew_05_0001,0.076011,650.1,60.5,1325.8,126.9,2597.2,612.9,3656.1,626.7,639.2,1343.4,2477.5,3731.5,224.4,83.7,16.6
bnew_05_0001,0.078011,653.9,52.5,1325.4,101.3,2543.4,574.7,3657.4,459.8,645.2,1334.1,2481.8,3727.1,223.6,84,16.3
bnew_05_0001,0.080011,655.8,46.5,1324.4,83.2,2497.1,523.6,3659.9,356.2,650,1325.7,2486.4,3724.1,222.9,84.2,15.7
bnew_05_0001,0.082011,655.3,43,1322.3,73,2475.2,498.2,3666.1,335.6,653.6,1318.2,2491.1,3722.5,222.2,84.4,15.2
bnew_05_0001,0.084011,652.8,41.4,1319,68.5,2476.7,501.1,3676.4,375.8,656,1311.4,2495.7,3722.5,221.4,84.6,14.8
bnew_05_0001,0.086011,649.2,40.8,1314.2,65.8,2492.1,504.9,3696.1,436.6,657.1,1305.2,2500.1,3723.9,220.7,84.7,14.7
bnew_05_0001,0.088011,645.2,39.9,1308.5,63.2,2503.8,486.7,3731,446.8,657,1299.7,2503.9,3726.8,219.9,84.8,15
bnew_05_0001,0.090011,641.6,38.2,1302.4,60.8,2497.8,457.5,3770.9,387.1,655.7,1294.6,2507.2,3731.2,219.2,84.8,15.5
bnew_05_0001,0.092011,638.8,35.3,1296.2,59.1,2477,439.1,3797.1,307.8,653.5,1290,2509.7,3736.9,218.4,84.9,15.9
bnew_05_0001,0.094011,637.1,32,1290.6,57.4,2459.8,439.2,3806.6,256.3,650.2,1285.6,2511.3,3743.9,217.7,84.9,16.2
bnew_05_0001,0.096011,636.4,28.7,1285.6,54.8,2462.8,454.3,3809.1,242.8,646.2,1281.5,2512,3751.9,216.9,85,16.1
bnew_05_0001,0.098011,636.2,26.4,1281.4,51.2,2485.1,466.1,3813.8,260.4,641.6,1277.5,2511.7,3760.9,216.2,85,15.8
bnew_05_0001,0.100011,635.1,25.1,1277.2,47.8,2505.9,462.4,3825.8,285.1,636.5,1273.5,2510.5,3770.6,215.5,85.1,15.3
bnew_05_0001,0.102011,632.1,24.7,1272.4,45.2,2513.2,449.3,3841.3,298.9,631.1,1269.6,2508.4,3780.7,214.8,85.2,14.8
bnew_05_0001,0.104011,627.2,24.6,1267.2,43.9,2508.8,433.2,3851.2,298.6,625.6,1265.5,2505.3,3791.2,214.1,85.3,14.4
bnew_05_0001,0.106011,621.2,24.6,1262.2,44.4,2498.9,413.6,3849.9,285,620.2,1261.4,2501.6,3801.7,213.5,85.4,14.3
bnew_05_0001,0.108011,614.9,25.1,1256.7,47.1,2487.2,386.1,3840.5,258.5,614.9,1257.2,2497.1,3812.1,212.8,85.6,14.6
bnew_05_0001,0.110011,609.8,26,1250.1,51.5,2476.8,356.1,3830.6,233.1,610.1,1252.8,2492.1,3822,212.1,85.7,15
bnew_05_0001,0.112011,606.6,27.1,1242.1,56.2,2468.6,333.3,3822.5,221.4,605.7,1248.3,2486.7,3831.3,211.5,85.8,15.4
bnew_05_0001,0.114011,606,27.9,1234.9,60.7,2463.3,324.4,3816.4,225.2,601.9,1243.8,2481.1,3839.7,210.9,85.8,15.6
bnew_05_0001,0.116011,607.5,28.3,1231,65.6,2461.5,327.1,3815.7,238.4,598.8,1239.2,2475.4,3847.2,210.3,85.8,15.3
bnew_05_0001,0.118011,609.7,28.5,1230.3,69.6,2461.1,329.7,3825.4,249.9,596.3,1234.8,2469.8,3853.5,209.7,85.7,14.5
bnew_05_0001,0.120011,610.7,28.8,1229.4,70.1,2456.6,322.9,3843.6,245.9,594.7,1230.4,2464.5,3858.4,209.2,85.6,13.4
