id,vowel,word,formant_percent,hz
bnew_01_0001,ɔ,worse,f11,514
bnew_01_0001,ɔ,worse,f21,973
bnew_01_0001,ɔ,worse,f31,2516
bnew_01_0001,ɔ,worse,f41,3520
bnew_01_0001,ɔ,worse,f12,582
bnew_01_0001,ɔ,worse,f22,1225
bnew_01_0001,ɔ,worse,f32,2533
bnew_01_0001,ɔ,worse,f42,3474
bnew_01_0001,ɔ,worse,f13,578
bnew_01_0001,ɔ,worse,f23,1495
bnew_01_0001,ɔ,worse,f33,2528
bnew_01_0001,ɔ,worse,f43,3457
bnew_01_0001,ɔ,worse,f14,572
bnew_01_0001,ɔ,worse,f24,1485
bnew_01_0001,ɔ,worse,f34,2460
bnew_01_0001,ɔ,worse,f44,3352
bnew_01_0001,ɔ,worse,f15,568
bnew_01_0001,ɔ,worse,f25,1583
bnew_01_0001,ɔ,worse,f35,2463
bnew_01_0001,ɔ,worse,f45,3393
bnew_01_0002,ɔ,urge,f11,653
bnew_01_0002,ɔ,urge,f21,1108
bnew_01_0002,ɔ,urge,f31,2242
bnew_01_0002,ɔ,urge,f41,2938
bnew_01_0002,ɔ,urge,f12,681
bnew_01_0002,ɔ,urge,f22,1314
bnew_01_0002,ɔ,urge,f32,2207
bnew_01_0002,ɔ,urge,f42,3184
bnew_01_0002,ɔ,urge,f13,737
bnew_01_0002,ɔ,urge,f23,1423
bnew_01_0002,ɔ,urge,f33,2437
bnew_01_0002,ɔ,urge,f43,3111
bnew_01_0002,ɔ,urge,f14,781
bnew_01_0002,ɔ,urge,f24,1573
bnew_01_0002,ɔ,urge,f34,2328
bnew_01_0002,ɔ,urge,f44,2749
bnew_01_0002,ɔ,urge,f15,784
bnew_01_0002,ɔ,urge,f25,1590
bnew_01_0002,ɔ,urge,f35,2191
bnew_01_0002,ɔ,urge,f45,2889
bnew_01_0003,ɒ,thursday,f11,942
bnew_01_0003,ɒ,thursday,f21,1749
bnew_01_0003,ɒ,thursday,f31,2678
bnew_01_0003,ɒ,thursday,f41,3681
bnew_01_0003,ɒ,thursday,f12,932
bnew_01_0003,ɒ,thursday,f22,1700
bnew_01_0003,ɒ,thursday,f32,2771
bnew_01_0003,ɒ,thursday,f42,3833
bnew_01_0003,ɒ,thursday,f13,952
bnew_01_0003,ɒ,thursday,f23,1774
bnew_01_0003,ɒ,thursday,f33,2681
bnew_01_0003,ɒ,thursday,f43,4436
bnew_01_0003,ɒ,thursday,f14,1024
bnew_01_0003,ɒ,thursday,f24,1597
bnew_01_0003,ɒ,thursday,f34,2679
bnew_01_0003,ɒ,thursday,f44,4599
bnew_01_0003,ɒ,thursday,f15,1041
bnew_01_0003,ɒ,thursday,f25,1558
bnew_01_0003,ɒ,thursday,f35,2728
bnew_01_0003,ɒ,thursday,f45,4399
bnew_01_0004,ɒ,occurred,f11,670
bnew_01_0004,ɒ,occurred,f21,1523
bnew_01_0004,ɒ,occurred,f31,2671
bnew_01_0004,ɒ,occurred,f41,3486
bnew_01_0004,ɒ,occurred,f12,703
bnew_01_0004,ɒ,occurred,f22,1049
bnew_01_0004,ɒ,occurred,f32,2400
bnew_01_0004,ɒ,occurred,f42,3303
bnew_01_0004,ɒ,occurred,f13,832
bnew_01_0004,ɒ,occurred,f23,920
bnew_01_0004,ɒ,occurred,f33,2387
bnew_01_0004,ɒ,occurred,f43,3196
bnew_01_0004,ɒ,occurred,f14,816
bnew_01_0004,ɒ,occurred,f24,1144
bnew_01_0004,ɒ,occurred,f34,2522
bnew_01_0004,ɒ,occurred,f44,3210
bnew_01_0004,ɒ,occurred,f15,881
bnew_01_0004,ɒ,occurred,f25,1272
bnew_01_0004,ɒ,occurred,f35,2561
bnew_01_0004,ɒ,occurred,f45,3262
bnew_01_0005,ɑ,swerved,f11,851
bnew_01_0005,ɑ,swerved,f21,1421
bnew_01_0005,ɑ,swerved,f31,2424
bnew_01_0005,ɑ,swerved,f41,2966
bnew_01_0005,ɑ,swerved,f12,908
bnew_01_0005,ɑ,swerved,f22,1533
bnew_01_0005,ɑ,swerved,f32,2368
bnew_01_0005,ɑ,swerved,f42,3130
bnew_01_0005,ɑ,swerved,f13,937
bnew_01_0005,ɑ,swerved,f23,1625
bnew_01_0005,ɑ,swerved,f33,2126
bnew_01_0005,ɑ,swerved,f43,2857
bnew_01_0005,ɑ,swerved,f14,935
bnew_01_0005,ɑ,swerved,f24,1563
bnew_01_0005,ɑ,swerved,f34,2463
bnew_01_0005,ɑ,swerved,f44,2907
bnew_01_0005,ɑ,swerved,f15,907
bnew_01_0005,ɑ,swerved,f25,1485
bnew_01_0005,ɑ,swerved,f35,2501
bnew_01_0005,ɑ,swerved,f45,2836
bnew_01_0006,ɒ,working,f11,550
bnew_01_0006,ɒ,working,f21,1022
bnew_01_0006,ɒ,working,f31,2207
bnew_01_0006,ɒ,working,f41,2953
bnew_01_0006,ɒ,working,f12,706
bnew_01_0006,ɒ,working,f22,1008
bnew_01_0006,ɒ,working,f32,2372
bnew_01_0006,ɒ,working,f42,2947
bnew_01_0006,ɒ,working,f13,747
bnew_01_0006,ɒ,working,f23,1112
bnew_01_0006,ɒ,working,f33,2011
bnew_01_0006,ɒ,working,f43,2830
bnew_01_0006,ɒ,working,f14,766
bnew_01_0006,ɒ,working,f24,1055
bnew_01_0006,ɒ,working,f34,2386
bnew_01_0006,ɒ,working,f44,2789
bnew_01_0006,ɒ,working,f15,763
bnew_01_0006,ɒ,working,f25,1366
bnew_01_0006,ɒ,working,f35,2745
bnew_01_0006,ɒ,working,f45,3012
bnew_01_0007,ɛ,person,f11,623
bnew_01_0007,ɛ,person,f21,1648
bnew_01_0007,ɛ,person,f31,2244
bnew_01_0007,ɛ,person,f41,3029
bnew_01_0007,ɛ,person,f12,1005
bnew_01_0007,ɛ,person,f22,1707
bnew_01_0007,ɛ,person,f32,2338
bnew_01_0007,ɛ,person,f42,3512
bnew_01_0007,ɛ,person,f13,1687
bnew_01_0007,ɛ,person,f23,1756
bnew_01_0007,ɛ,person,f33,2279
bnew_01_0007,ɛ,person,f43,4013
bnew_01_0007,ɛ,person,f14,1708
bnew_01_0007,ɛ,person,f24,1940
bnew_01_0007,ɛ,person,f34,2386
bnew_01_0007,ɛ,person,f44,3930
bnew_01_0007,ɛ,person,f15,1708
bnew_01_0007,ɛ,person,f25,1772
bnew_01_0007,ɛ,person,f35,2592
bnew_01_0007,ɛ,person,f45,4247
bnew_01_0008,ɛ,earlier,f11,620
bnew_01_0008,ɛ,earlier,f21,1847
bnew_01_0008,ɛ,earlier,f31,2464
bnew_01_0008,ɛ,earlier,f41,2948
bnew_01_0008,ɛ,earlier,f12,657
bnew_01_0008,ɛ,earlier,f22,1968
bnew_01_0008,ɛ,earlier,f32,2503
bnew_01_0008,ɛ,earlier,f42,3114
bnew_01_0008,ɛ,earlier,f13,731
bnew_01_0008,ɛ,earlier,f23,1979
bnew_01_0008,ɛ,earlier,f33,2519
bnew_01_0008,ɛ,earlier,f43,2989
bnew_01_0008,ɛ,earlier,f14,1758
bnew_01_0008,ɛ,earlier,f24,2083
bnew_01_0008,ɛ,earlier,f34,2535
bnew_01_0008,ɛ,earlier,f44,3117
bnew_01_0008,ɛ,earlier,f15,511
bnew_01_0008,ɛ,earlier,f25,2117
bnew_01_0008,ɛ,earlier,f35,2639
bnew_01_0008,ɛ,earlier,f45,3058
bnew_01_0009,ɑ,transferred,f11,870
bnew_01_0009,ɑ,transferred,f21,1722
bnew_01_0009,ɑ,transferred,f31,2021
bnew_01_0009,ɑ,transferred,f41,2690
bnew_01_0009,ɑ,transferred,f12,948
bnew_01_0009,ɑ,transferred,f22,1971
bnew_01_0009,ɑ,transferred,f32,2142
bnew_01_0009,ɑ,transferred,f42,2966
bnew_01_0009,ɑ,transferred,f13,926
bnew_01_0009,ɑ,transferred,f23,1900
bnew_01_0009,ɑ,transferred,f33,2184
bnew_01_0009,ɑ,transferred,f43,2994
bnew_01_0009,ɑ,transferred,f14,940
bnew_01_0009,ɑ,transferred,f24,1755
bnew_01_0009,ɑ,transferred,f34,2214
bnew_01_0009,ɑ,transferred,f44,2806
bnew_01_0009,ɑ,transferred,f15,927
bnew_01_0009,ɑ,transferred,f25,1773
bnew_01_0009,ɑ,transferred,f35,2025
bnew_01_0009,ɑ,transferred,f45,2854
bnew_02_0001,æ,internet,f11,522
bnew_02_0001,æ,internet,f21,1932
bnew_02_0001,æ,internet,f31,2919
bnew_02_0001,æ,internet,f41,4106
bnew_02_0001,æ,internet,f12,544
bnew_02_0001,æ,internet,f22,1835
bnew_02_0001,æ,internet,f32,2991
bnew_02_0001,æ,internet,f42,3894
bnew_02_0001,æ,internet,f13,615
bnew_02_0001,æ,internet,f23,1669
bnew_02_0001,æ,internet,f33,2950
bnew_02_0001,æ,internet,f43,3788
bnew_02_0001,æ,internet,f14,734
bnew_02_0001,æ,internet,f24,1654
bnew_02_0001,æ,internet,f34,2903
bnew_02_0001,æ,internet,f44,3765
bnew_02_0001,æ,internet,f15,726
bnew_02_0001,æ,internet,f25,1741
bnew_02_0001,æ,internet,f35,2981
bnew_02_0001,æ,internet,f45,3883
bnew_02_0002,ɑ,thirteenth,f11,529
bnew_02_0002,ɑ,thirteenth,f21,1683
bnew_02_0002,ɑ,thirteenth,f31,2743
bnew_02_0002,ɑ,thirteenth,f41,3810
bnew_02_0002,ɑ,thirteenth,f12,637
bnew_02_0002,ɑ,thirteenth,f22,1533
bnew_02_0002,ɑ,thirteenth,f32,2697
bnew_02_0002,ɑ,thirteenth,f42,3748
bnew_02_0002,ɑ,thirteenth,f13,620
bnew_02_0002,ɑ,thirteenth,f23,1544
bnew_02_0002,ɑ,thirteenth,f33,2756
bnew_02_0002,ɑ,thirteenth,f43,3681
bnew_02_0002,ɑ,thirteenth,f14,648
bnew_02_0002,ɑ,thirteenth,f24,1541
bnew_02_0002,ɑ,thirteenth,f34,2996
bnew_02_0002,ɑ,thirteenth,f44,4364
bnew_02_0002,ɑ,thirteenth,f15,648
bnew_02_0002,ɑ,thirteenth,f25,1533
bnew_02_0002,ɑ,thirteenth,f35,2866
bnew_02_0002,ɑ,thirteenth,f45,4230
bnew_02_0003,ɪ,interim,f11,405
bnew_02_0003,ɪ,interim,f21,1833
bnew_02_0003,ɪ,interim,f31,2527
bnew_02_0003,ɪ,interim,f41,3449
bnew_02_0003,ɪ,interim,f12,479
bnew_02_0003,ɪ,interim,f22,1824
bnew_02_0003,ɪ,interim,f32,2514
bnew_02_0003,ɪ,interim,f42,3435
bnew_02_0003,ɪ,interim,f13,525
bnew_02_0003,ɪ,interim,f23,1786
bnew_02_0003,ɪ,interim,f33,2533
bnew_02_0003,ɪ,interim,f43,3084
bnew_02_0003,ɪ,interim,f14,514
bnew_02_0003,ɪ,interim,f24,1756
bnew_02_0003,ɪ,interim,f34,2527
bnew_02_0003,ɪ,interim,f44,2796
bnew_02_0003,ɪ,interim,f15,497
bnew_02_0003,ɪ,interim,f25,1725
bnew_02_0003,ɪ,interim,f35,2524
bnew_02_0003,ɪ,interim,f45,2592
bnew_02_0004,æ,service,f11,544
bnew_02_0004,æ,service,f21,1649
bnew_02_0004,æ,service,f31,2678
bnew_02_0004,æ,service,f41,3947
bnew_02_0004,æ,service,f12,616
bnew_02_0004,æ,service,f22,1630
bnew_02_0004,æ,service,f32,2659
bnew_02_0004,æ,service,f42,3887
bnew_02_0004,æ,service,f13,671
bnew_02_0004,æ,service,f23,1655
bnew_02_0004,æ,service,f33,2680
bnew_02_0004,æ,service,f43,3914
bnew_02_0004,æ,service,f14,620
bnew_02_0004,æ,service,f24,1627
bnew_02_0004,æ,service,f34,2558
bnew_02_0004,æ,service,f44,3748
bnew_02_0004,æ,service,f15,635
bnew_02_0004,æ,service,f25,1586
bnew_02_0004,æ,service,f35,2581
bnew_02_0004,æ,service,f45,3729
bnew_02_0005,ɛ,service,f11,499
bnew_02_0005,ɛ,service,f21,1669
bnew_02_0005,ɛ,service,f31,2668
bnew_02_0005,ɛ,service,f41,4025
bnew_02_0005,ɛ,service,f12,612
bnew_02_0005,ɛ,service,f22,1670
bnew_02_0005,ɛ,service,f32,2674
bnew_02_0005,ɛ,service,f42,4096
bnew_02_0005,ɛ,service,f13,634
bnew_02_0005,ɛ,service,f23,1663
bnew_02_0005,ɛ,service,f33,2606
bnew_02_0005,ɛ,service,f43,3773
bnew_02_0005,ɛ,service,f14,584
bnew_02_0005,ɛ,service,f24,1634
bnew_02_0005,ɛ,service,f34,2619
bnew_02_0005,ɛ,service,f44,3724
bnew_02_0005,ɛ,service,f15,582
bnew_02_0005,ɛ,service,f25,1687
bnew_02_0005,ɛ,service,f35,2640
bnew_02_0005,ɛ,service,f45,3997
bnew_02_0006,ɒ,journalists,f11,495
bnew_02_0006,ɒ,journalists,f21,1752
bnew_02_0006,ɒ,journalists,f31,2576
bnew_02_0006,ɒ,journalists,f41,3365
bnew_02_0006,ɒ,journalists,f12,549
bnew_02_0006,ɒ,journalists,f22,1667
bnew_02_0006,ɒ,journalists,f32,2576
bnew_02_0006,ɒ,journalists,f42,3343
bnew_02_0006,ɒ,journalists,f13,573
bnew_02_0006,ɒ,journalists,f23,1554
bnew_02_0006,ɒ,journalists,f33,2611
bnew_02_0006,ɒ,journalists,f43,3399
bnew_02_0006,ɒ,journalists,f14,523
bnew_02_0006,ɒ,journalists,f24,1522
bnew_02_0006,ɒ,journalists,f34,2695
bnew_02_0006,ɒ,journalists,f44,3431
bnew_02_0006,ɒ,journalists,f15,561
bnew_02_0006,ɒ,journalists,f25,1661
bnew_02_0006,ɒ,journalists,f35,2562
bnew_02_0006,ɒ,journalists,f45,3217
bnew_02_0007,ɔ,nurses,f11,540
bnew_02_0007,ɔ,nurses,f21,1651
bnew_02_0007,ɔ,nurses,f31,2649
bnew_02_0007,ɔ,nurses,f41,3483
bnew_02_0007,ɔ,nurses,f12,582
bnew_02_0007,ɔ,nurses,f22,1563
bnew_02_0007,ɔ,nurses,f32,2578
bnew_02_0007,ɔ,nurses,f42,3421
bnew_02_0007,ɔ,nurses,f13,638
bnew_02_0007,ɔ,nurses,f23,1465
bnew_02_0007,ɔ,nurses,f33,2614
bnew_02_0007,ɔ,nurses,f43,3421
bnew_02_0007,ɔ,nurses,f14,571
bnew_02_0007,ɔ,nurses,f24,1435
bnew_02_0007,ɔ,nurses,f34,2628
bnew_02_0007,ɔ,nurses,f44,3446
bnew_02_0007,ɔ,nurses,f15,523
bnew_02_0007,ɔ,nurses,f25,1435
bnew_02_0007,ɔ,nurses,f35,2738
bnew_02_0007,ɔ,nurses,f45,3319
bnew_02_0008,æ,internet,f11,546
bnew_02_0008,æ,internet,f21,1440
bnew_02_0008,æ,internet,f31,2267
bnew_02_0008,æ,internet,f41,3133
bnew_02_0008,æ,internet,f12,657
bnew_02_0008,æ,internet,f22,1562
bnew_02_0008,æ,internet,f32,2214
bnew_02_0008,æ,internet,f42,3084
bnew_02_0008,æ,internet,f13,676
bnew_02_0008,æ,internet,f23,1650
bnew_02_0008,æ,internet,f33,2278
bnew_02_0008,æ,internet,f43,3027
bnew_02_0008,æ,internet,f14,587
bnew_02_0008,æ,internet,f24,1512
bnew_02_0008,æ,internet,f34,2328
bnew_02_0008,æ,internet,f44,3012
bnew_02_0008,æ,internet,f15,567
bnew_02_0008,æ,internet,f25,1498
bnew_02_0008,æ,internet,f35,2328
bnew_02_0008,æ,internet,f45,3022
bnew_02_0009,æ,interview,f11,543
bnew_02_0009,æ,interview,f21,1957
bnew_02_0009,æ,interview,f31,2875
bnew_02_0009,æ,interview,f41,4085
bnew_02_0009,æ,interview,f12,662
bnew_02_0009,æ,interview,f22,1866
bnew_02_0009,æ,interview,f32,2837
bnew_02_0009,æ,interview,f42,3989
bnew_02_0009,æ,interview,f13,686
bnew_02_0009,æ,interview,f23,1759
bnew_02_0009,æ,interview,f33,2767
bnew_02_0009,æ,interview,f43,4141
bnew_02_0009,æ,interview,f14,631
bnew_02_0009,æ,interview,f24,1726
bnew_02_0009,æ,interview,f34,2726
bnew_02_0009,æ,interview,f44,4031
bnew_02_0009,æ,interview,f15,602
bnew_02_0009,æ,interview,f25,1675
bnew_02_0009,æ,interview,f35,2604
bnew_02_0009,æ,interview,f45,4032
bnew_02_0010,ɑ,certainty,f11,800
bnew_02_0010,ɑ,certainty,f21,1563
bnew_02_0010,ɑ,certainty,f31,2795
bnew_02_0010,ɑ,certainty,f41,3958
bnew_02_0010,ɑ,certainty,f12,791
bnew_02_0010,ɑ,certainty,f22,1580
bnew_02_0010,ɑ,certainty,f32,2796
bnew_02_0010,ɑ,certainty,f42,3875
bnew_02_0010,ɑ,certainty,f13,774
bnew_02_0010,ɑ,certainty,f23,1608
bnew_02_0010,ɑ,certainty,f33,2930
bnew_02_0010,ɑ,certainty,f43,3886
bnew_02_0010,ɑ,certainty,f14,767
bnew_02_0010,ɑ,certainty,f24,1718
bnew_02_0010,ɑ,certainty,f34,2823
bnew_02_0010,ɑ,certainty,f44,4028
bnew_02_0010,ɑ,certainty,f15,607
bnew_02_0010,ɑ,certainty,f25,1739
bnew_02_0010,ɑ,certainty,f35,2691
bnew_02_0010,ɑ,certainty,f45,4001
bnew_03_0001,ɛ,personnel,f11,568
bnew_03_0001,ɛ,personnel,f21,1425
bnew_03_0001,ɛ,personnel,f31,2332
bnew_03_0001,ɛ,personnel,f41,2692
bnew_03_0001,ɛ,personnel,f12,625
bnew_03_0001,ɛ,personnel,f22,1354
bnew_03_0001,ɛ,personnel,f32,2109
bnew_03_0001,ɛ,personnel,f42,2965
bnew_03_0001,ɛ,personnel,f13,678
bnew_03_0001,ɛ,personnel,f23,1289
bnew_03_0001,ɛ,personnel,f33,2146
bnew_03_0001,ɛ,personnel,f43,3073
bnew_03_0001,ɛ,personnel,f14,727
bnew_03_0001,ɛ,personnel,f24,1316
bnew_03_0001,ɛ,personnel,f34,2139
bnew_03_0001,ɛ,personnel,f44,3070
bnew_03_0001,ɛ,personnel,f15,608
bnew_03_0001,ɛ,personnel,f25,1366
bnew_03_0001,ɛ,personnel,f35,2180
bnew_03_0001,ɛ,personnel,f45,3273
bnew_03_0002,æ,Sir,f11,517
bnew_03_0002,æ,Sir,f21,1229
bnew_03_0002,æ,Sir,f31,2167
bnew_03_0002,æ,Sir,f41,3307
bnew_03_0002,æ,Sir,f12,599
bnew_03_0002,æ,Sir,f22,1252
bnew_03_0002,æ,Sir,f32,2063
bnew_03_0002,æ,Sir,f42,3115
bnew_03_0002,æ,Sir,f13,627
bnew_03_0002,æ,Sir,f23,1223
bnew_03_0002,æ,Sir,f33,1705
bnew_03_0002,æ,Sir,f43,3069
bnew_03_0002,æ,Sir,f14,629
bnew_03_0002,æ,Sir,f24,1193
bnew_03_0002,æ,Sir,f34,1669
bnew_03_0002,æ,Sir,f44,3131
bnew_03_0002,æ,Sir,f15,647
bnew_03_0002,æ,Sir,f25,1292
bnew_03_0002,æ,Sir,f35,2112
bnew_03_0002,æ,Sir,f45,3485
bnew_03_0003,ɒ,work,f11,398
bnew_03_0003,ɒ,work,f21,2509
bnew_03_0003,ɒ,work,f31,3902
bnew_03_0003,ɒ,work,f41,5258
bnew_03_0003,ɒ,work,f12,587
bnew_03_0003,ɒ,work,f22,2721
bnew_03_0003,ɒ,work,f32,4036
bnew_03_0003,ɒ,work,f42,5377
bnew_03_0003,ɒ,work,f13,736
bnew_03_0003,ɒ,work,f23,2568
bnew_03_0003,ɒ,work,f33,4103
bnew_03_0003,ɒ,work,f43,5340
bnew_03_0003,ɒ,work,f14,638
bnew_03_0003,ɒ,work,f24,2389
bnew_03_0003,ɒ,work,f34,3895
bnew_03_0003,ɒ,work,f44,5362
bnew_03_0003,ɒ,work,f15,814
bnew_03_0003,ɒ,work,f25,2445
bnew_03_0003,ɒ,work,f35,3875
bnew_03_0003,ɒ,work,f45,5331
bnew_03_0004,ɒ,third,f11,504
bnew_03_0004,ɒ,third,f21,1164
bnew_03_0004,ɒ,third,f31,2432
bnew_03_0004,ɒ,third,f41,3080
bnew_03_0004,ɒ,third,f12,540
bnew_03_0004,ɒ,third,f22,1125
bnew_03_0004,ɒ,third,f32,2382
bnew_03_0004,ɒ,third,f42,3022
bnew_03_0004,ɒ,third,f13,527
bnew_03_0004,ɒ,third,f23,1152
bnew_03_0004,ɒ,third,f33,2355
bnew_03_0004,ɒ,third,f43,2911
bnew_03_0004,ɒ,third,f14,477
bnew_03_0004,ɒ,third,f24,1270
bnew_03_0004,ɒ,third,f34,2315
bnew_03_0004,ɒ,third,f44,2921
bnew_03_0004,ɒ,third,f15,328
bnew_03_0004,ɒ,third,f25,1379
bnew_03_0004,ɒ,third,f35,2191
bnew_03_0004,ɒ,third,f45,2991
bnew_03_0005,ɒ,third,f11,520
bnew_03_0005,ɒ,third,f21,1227
bnew_03_0005,ɒ,third,f31,2468
bnew_03_0005,ɒ,third,f41,3493
bnew_03_0005,ɒ,third,f12,541
bnew_03_0005,ɒ,third,f22,1162
bnew_03_0005,ɒ,third,f32,2511
bnew_03_0005,ɒ,third,f42,3841
bnew_03_0005,ɒ,third,f13,553
bnew_03_0005,ɒ,third,f23,1161
bnew_03_0005,ɒ,third,f33,2480
bnew_03_0005,ɒ,third,f43,4049
bnew_03_0005,ɒ,third,f14,546
bnew_03_0005,ɒ,third,f24,1227
bnew_03_0005,ɒ,third,f34,2347
bnew_03_0005,ɒ,third,f44,3962
bnew_03_0005,ɒ,third,f15,453
bnew_03_0005,ɒ,third,f25,1365
bnew_03_0005,ɒ,third,f35,2352
bnew_03_0005,ɒ,third,f45,3809
bnew_03_0006,ɑ,Sir,f11,512
bnew_03_0006,ɑ,Sir,f21,1370
bnew_03_0006,ɑ,Sir,f31,2381
bnew_03_0006,ɑ,Sir,f41,3539
bnew_03_0006,ɑ,Sir,f12,636
bnew_03_0006,ɑ,Sir,f22,1332
bnew_03_0006,ɑ,Sir,f32,2125
bnew_03_0006,ɑ,Sir,f42,3349
bnew_03_0006,ɑ,Sir,f13,725
