file_name,f0,duration_ms,label,group,color,number,cutoff,f11,f21,f31,f41,f12,f22,f32,f42,f13,f23,f33,f43,f14,f24,f34,f44,f15,f25,f35,f45
bnew_01_0001,191.7,0.078,T,30,Navy,1,6058,514,973,2516,3520,582,1225,2533,3474,578,1495,2528,3457,572,1485,2460,3352,568,1583,2463,3393
bnew_01_0002,233.4,0.098,T,30,Navy,2,4992,653,1108,2242,2938,681,1314,2207,3184,737,1423,2437,3111,781,1573,2328,2749,784,1590,2191,2889
bnew_01_0003,295.1,0.084,R,26,Black,3,6484,942,1749,2678,3681,932,1700,2771,3833,952,1774,2681,4436,1024,1597,2679,4599,1041,1558,2728,4399
bnew_01_0004,303.7,0.078,R,26,Black,4,5632,670,1523,2671,3486,703,1049,2400,3303,832,920,2387,3196,816,1144,2522,3210,881,1272,2561,3262
bnew_01_0005,284.2,0.108,Q,25,Magenta,5,4992,851,1421,2424,2966,908,1533,2368,3130,937,1625,2126,2857,935,1563,2463,2907,907,1485,2501,2836
bnew_01_0006,251.5,0.096,R,26,Black,6,4779,550,1022,2207,2953,706,1008,2372,2947,747,1112,2011,2830,766,1055,2386,2789,763,1366,2745,3012
bnew_01_0007,280.1,0.138,[,28,Purple,7,5845,623,1648,2244,3029,1005,1707,2338,3512,1687,1756,2279,4013,1708,1940,2386,3930,1708,1772,2592,4247
bnew_01_0008,225.6,0.092,[,28,Purple,8,5205,620,1847,2464,2948,657,1968,2503,3114,731,1979,2519,2989,1758,2083,2535,3117,511,2117,2639,3058
bnew_01_0009,284.8,0.29,Q,25,Magenta,9,5205,870,1722,2021,2690,948,1971,2142,2966,926,1900,2184,2994,940,1755,2214,2806,927,1773,2025,2854
bnew_02_0001,251.2,0.068,æ,31,Pink,1,6271,522,1932,2919,4106,544,1835,2991,3894,615,1669,2950,3788,734,1654,2903,3765,726,1741,2981,3883
bnew_02_0002,237.4,0.174,Q,25,Magenta,2,6271,529,1683,2743,3810,637,1533,2697,3748,620,1544,2756,3681,648,1541,2996,4364,648,1533,2866,4230
bnew_02_0003,254.8,0.04,j,27,Lime,3,5205,405,1833,2527,3449,479,1824,2514,3435,525,1786,2533,3084,514,1756,2527,2796,497,1725,2524,2592
bnew_02_0004,145.8,0.11,a,21,Black,4,5418,544,1649,2678,3947,616,1630,2659,3887,671,1655,2680,3914,620,1627,2558,3748,635,1586,2581,3729
bnew_02_0005,204.3,0.12,[,28,Purple,5,5632,499,1669,2668,4025,612,1670,2674,4096,634,1663,2606,3773,584,1634,2619,3724,582,1687,2640,3997
bnew_02_0006,207.8,0.088,R,26,Black,6,4779,495,1752,2576,3365,549,1667,2576,3343,573,1554,2611,3399,523,1522,2695,3431,561,1661,2562,3217
bnew_02_0007,145,0.088,T,30,Navy,7,5418,540,1651,2649,3483,582,1563,2578,3421,638,1465,2614,3421,571,1435,2628,3446,523,1435,2738,3319
bnew_02_0008,300.9,0.054,æ,31,Pink,8,4139,546,1440,2267,3133,657,1562,2214,3084,676,1650,2278,3027,587,1512,2328,3012,567,1498,2328,3022
bnew_02_0009,148,0.084,æ,31,Pink,9,6484,543,1957,2875,4085,662,1866,2837,3989,686,1759,2767,4141,631,1726,2726,4031,602,1675,2604,4032
bnew_02_0010,187.8,0.08,Q,25,Magenta,10,6484,800,1563,2795,3958,791,1580,2796,3875,774,1608,2930,3886,767,1718,2823,4028,607,1739,2691,4001
bnew_03_0001,152,0.07,[,28,Purple,1,4566,568,1425,2332,2692,625,1354,2109,2965,678,1289,2146,3073,727,1316,2139,3070,608,1366,2180,3273
bnew_03_0002,102,0.11,a,21,Black,2,4992,517,1229,2167,3307,599,1252,2063,3115,627,1223,1705,3069,629,1193,1669,3131,647,1292,2112,3485
bnew_03_0003,124.6,0.202,R,26,Black,3,7550,398,2509,3902,5258,587,2721,4036,5377,736,2568,4103,5340,638,2389,3895,5362,814,2445,3875,5331
bnew_03_0004,107,0.088,R,26,Black,4,4779,504,1164,2432,3080,540,1125,2382,3022,527,1152,2355,2911,477,1270,2315,2921,328,1379,2191,2991
bnew_03_0005,133.2,0.1,R,26,Black,5,5845,520,1227,2468,3493,541,1162,2511,3841,553,1161,2480,4049,546,1227,2347,3962,453,1365,2352,3809
bnew_03_0006,128.4,0.1,Q,25,Magenta,6,4992,512,1370,2381,3539,636,1332,2125,3349,725,1294,1756,3171,714,1249,1860,3276,728,1245,2142,3527
bnew_04_0001,232.2,0.084,R,26,Black,1,4992,528,996,2715,3761,556,973,2363,3722,558,1014,2143,3705,501,1131,2197,3506,469,1200,2156,3561
bnew_04_0002,190.9,0.132,T,30,Navy,2,4992,448,860,2313,3237,544,892,2353,3279,538,1024,2397,3302,527,970,2434,3336,492,992,2401,3351
bnew_04_0003,193.1,0.084,æ,31,Pink,3,5205,689,1336,2449,3530,791,1464,2434,3626,854,1497,2458,3767,801,1519,2486,3800,722,1521,2734,4070
bnew_04_0004,213.3,0.082,R,26,Black,4,5845,558,970,2741,3646,635,1096,2725,3621,661,1108,2825,3656,642,1223,2874,3874,603,1224,2980,4015
bnew_04_0005,101.9,0.288,[,28,Purple,5,5418,471,1514,2395,3413,511,1506,2568,3357,524,1603,2575,3342,498,1568,2516,3350,513,1598,2514,3321
bnew_04_0006,190.2,0.072,æ,31,Pink,6,4353,996,1094,2276,3132,926,1096,2044,3115,898,1148,2055,3070,879,1138,2039,3075,892,1083,2196,3144
bnew_04_0007,113.8,0.066,[,28,Purple,7,5845,469,1721,2550,3767,466,1832,2584,3700,433,1913,2597,3766,415,1945,2600,3806,383,1994,2566,3815
