time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025292,834.6,26.8,1376.9,170.0,2409.7,206.5,2966.1,162.6,838.8,1405,2379.1,2938.4,276.7,88.8,14.7
0.027292,839.1,26.3,1395.3,144.3,2412.3,191.4,2966.9,158.7,839.5,1404.8,2384.7,2941.2,276.8,89,14.8
0.029292,843.5,28.8,1407.0,135.0,2417.2,180.4,2966.0,155.9,840.6,1404.7,2393.6,2946,276.9,89.2,14.8
0.031292,847.4,32.4,1414.8,133.2,2421.6,171.4,2962.0,160.3,842.2,1404.8,2404.9,2952.9,277,89.4,14.9
0.033292,849.9,35.2,1419.3,133.4,2424.4,163.8,2954.7,175.6,844.3,1405.4,2417.7,2962,277.2,89.5,15
0.035292,850.9,36.5,1420.8,134.0,2426.6,159.4,2944.2,208.9,846.8,1406.8,2430.7,2973.4,277.3,89.6,15.4
0.037292,851.1,37.2,1420.5,135.3,2430.2,161.0,2933.4,274.3,849.8,1409.3,2442.8,2987,277.5,89.6,16.1
0.039292,851.4,38.4,1420.9,136.7,2437.0,166.2,2935.2,393.1,853.1,1413.2,2452.6,3002.8,277.7,89.6,16.8
0.041292,852.7,40.0,1423.4,133.4,2441.5,166.3,2974.1,557.9,856.9,1418.8,2459,3020.5,277.9,89.7,17.6
0.043292,855.0,41.2,1426.1,123.4,2433.6,168.7,3046.2,679.3,861.1,1426.2,2461,3039.5,278.1,89.7,18
0.045292,858.2,42.4,1429.0,112.6,2414.5,184.2,3104.3,691.7,865.7,1435.6,2458,3059.4,278.4,89.7,18
0.047292,862.6,45.2,1434.9,107.8,2391.1,210.8,3129.9,636.0,870.6,1446.9,2449.5,3079.3,278.6,89.7,17.5
0.049292,868.9,51.5,1446.6,111.9,2372.4,244.5,3142.9,575.2,875.8,1460.2,2435.5,3098.2,278.9,89.7,16.7
0.051292,877.4,61.8,1464.9,123.8,2365.2,284.2,3151.6,549.0,881.2,1475.2,2416.1,3115.2,279.1,89.7,16
0.053292,887.5,74.2,1487.3,138.8,2367.9,331.2,3152.3,594.6,886.8,1491.6,2392,3129.1,279.4,89.6,15.5
