time,f1,b1,f2,b2,f3,b3,f4,b4,f1p,f2p,f3p,f4p,f0,intensity,harmonicity
0.025011,679.0,237.9,1652.4,108.4,2512.2,641.0,3765.5,683.8,675.9,1590.9,2291.2,3800.8,0,52.1,-200
0.027011,673.7,184.2,1652.7,93.7,2431.2,528.2,3734.8,576.5,675.9,1590.9,2291.1,3800.8,0,53.6,-169.7
0.029011,668.3,143.7,1646.3,82.5,2379.1,451.6,3704.4,536.4,675.9,1591,2291,3800.8,0,55.1,-125
0.031011,658.3,112.7,1631.7,70.9,2338.1,417.7,3681.8,545.3,675.9,1591.2,2290.9,3800.9,0,56.5,-75.4
0.033011,645.3,91.7,1615.8,60.9,2300.1,421.2,3665.5,576.6,675.9,1591.3,2290.7,3801,0,57.7,-30.7
0.035011,633.6,78.6,1603.7,55.5,2267.0,435.7,3659.3,615.4,675.9,1591.5,2290.5,3801.1,0,58.7,-0.4
0.037011,626.3,73.6,1595.4,55.4,2258.7,426.0,3676.9,685.1,675.9,1591.7,2290.2,3801.2,0,59.3,12.4
0.039011,625.4,78.4,1587.6,60.1,2279.6,388.2,3720.0,782.6,675.9,1592,2289.9,3801.3,0,59.7,13.9
0.041011,632.2,95.3,1579.3,66.9,2303.7,362.0,3751.6,814.4,675.9,1592.3,2289.6,3801.5,0,59.9,9.1
0.043011,647.9,126.0,1573.9,70.2,2321.2,366.2,3757.2,769.5,675.9,1592.6,2289.2,3801.7,0,60.1,2.7
0.045011,672.9,164.7,1575.5,69.0,2329.8,384.4,3757.7,720.4,675.9,1592.9,2288.8,3801.8,0,60.4,-0.4
0.047011,703.0,195.0,1580.5,66.1,2326.2,379.9,3776.3,721.5,675.9,1593.2,2288.3,3802.1,0,60.9,-0.2
0.049011,723.5,203.5,1582.1,60.8,2317.2,353.0,3825.2,784.2,675.9,1593.6,2287.8,3802.3,0,61.5,0.2
0.051011,728.9,196.2,1580.5,52.4,2310.4,330.1,3903.1,869.4,675.9,1593.9,2287.2,3802.6,0,62.1,0.6
0.053011,722.3,179.0,1579.7,43.9,2304.5,326.2,3966.8,913.6,675.9,1594.3,2286.6,3802.9,0,62.6,0.9
0.055011,711.2,159.6,1582.3,38.2,2291.2,350.1,3956.0,886.2,675.9,1594.7,2285.9,3803.2,0,62.9,1
0.057011,699.9,146.2,1589.6,37.0,2260.3,397.5,3886.1,748.5,675.9,1595,2285.2,3803.5,0,63,1
0.059011,689.8,141.3,1600.7,41.6,2217.2,421.3,3839.4,564.7,675.9,1595.4,2284.4,3803.9,0,63.1,0.7
0.061011,682.7,138.6,1613.0,53.2,2190.4,391.5,3834.6,401.3,675.8,1595.7,2283.5,3804.3,0,63.4,0.4
0.063011,686.0,139.2,1617.7,68.3,2195.9,346.0,3844.7,268.0,675.8,1596.1,2282.6,3804.7,0,64.1,0.1
0.065011,695.3,140.1,1605.7,67.9,2217.3,301.7,3847.1,177.2,675.7,1596.4,2281.7,3805.1,0,64.9,0
0.067011,697.5,129.7,1591.8,53.3,2239.1,270.1,3844.9,131.8,675.7,1596.7,2280.7,3805.6,0,65.9,0
0.069011,692.6,110.4,1584.0,40.0,2256.0,256.7,3841.6,111.8,675.6,1597,2279.6,3806.1,0,66.7,0
0.071011,686.1,91.2,1582.2,31.8,2266.6,264.3,3838.0,106.1,675.5,1597.2,2278.4,3806.6,0,67.3,0.2
0.073011,681.3,77.5,1586.1,27.7,2269.3,297.9,3836.0,109.2,675.4,1597.4,2277.2,3807.2,0,67.6,0.3
0.075011,679.1,72.3,1593.8,26.5,2262.6,351.9,3840.4,119.5,675.3,1597.5,2275.9,3807.7,0,67.8,0.4
0.077011,678.5,77.9,1600.5,26.9,2258.1,402.5,3851.9,129.7,675.2,1597.6,2274.6,3808.3,94.5,67.8,0.5
0.079011,678.3,95.9,1599.8,29.1,2269.4,416.9,3866.4,133.1,675.1,1597.7,2273.2,3809,94.5,67.9,0.4
0.081011,672.5,107.0,1589.6,33.5,2284.5,390.5,3879.4,142.4,674.9,1597.7,2271.7,3809.6,94.5,68.2,0.4
0.083011,660.0,90.1,1572.8,38.7,2298.5,351.4,3876.7,159.2,674.8,1597.6,2270.2,3810.3,94.5,68.6,0.4
0.085011,650.5,66.8,1559.7,42.2,2304.1,341.5,3852.2,164.6,674.6,1597.5,2268.6,3811,94.5,69,0.7
0.087011,646.7,52.2,1557.9,42.9,2293.8,375.4,3825.9,152.8,674.4,1597.3,2266.9,3811.8,94.5,69.3,1.2
0.089011,647.1,45.5,1566.1,42.1,2258.6,452.5,3813.3,141.2,674.2,1597,2265.2,3812.5,94.6,69.5,1.9
0.091011,650.9,44.3,1578.4,40.6,2197.0,542.1,3812.1,137.2,674,1596.7,2263.4,3813.3,94.6,69.5,2.7
0.093011,656.3,47.4,1586.7,36.4,2152.5,575.4,3818.3,138.7,673.8,1596.3,2261.6,3814.1,94.6,69.3,3.4
0.095011,660.9,52.6,1586.6,30.4,2155.6,533.5,3830.1,149.9,673.5,1595.8,2259.7,3814.9,94.7,69.2,3.7
0.097011,664.1,58.6,1583.0,25.9,2193.4,452.1,3840.5,170.6,673.3,1595.2,2257.7,3815.7,94.7,69,3.4
0.099011,668.4,67.2,1582.3,24.6,2232.5,376.3,3835.0,178.1,673,1594.6,2255.7,3816.5,94.8,68.8,2.7
0.101011,674.4,78.8,1585.8,25.8,2259.4,335.4,3821.4,157.0,672.7,1593.9,2253.6,3817.3,94.9,68.6,1.9
0.103011,680.8,91.5,1589.2,27.4,2279.3,325.0,3815.7,137.8,672.4,1593,2251.5,3818.2,95,68.3,1.2
0.105011,686.7,101.9,1588.2,28.0,2291.1,340.5,3817.1,131.9,672.1,1592.1,2249.3,3819,95.2,68,1
0.107011,692.0,107.9,1584.2,28.2,2293.4,383.3,3823.1,134.7,671.8,1591.2,2247.1,3819.9,95.3,67.6,1.2
0.109011,694.0,108.0,1582.3,28.5,2279.3,457.9,3832.9,142.9,671.4,1590.1,2244.9,3820.7,95.5,67.4,1.9
0.111011,689.4,100.4,1583.7,28.9,2242.7,521.8,3842.7,153.8,671.1,1588.9,2242.6,3821.5,95.7,67.4,2.6
0.113011,683.8,86.2,1584.3,28.6,2204.5,511.3,3846.9,160.4,670.7,1587.7,2240.3,3822.3,95.9,67.6,3.4
0.115011,683.5,70.5,1583.3,28.9,2196.5,444.0,3838.0,148.0,670.3,1586.4,2238,3823.1,96.2,68.1,3.8
0.117011,685.7,59.0,1583.1,30.9,2213.7,381.1,3815.3,109.6,670,1585,2235.6,3823.9,96.4,68.8,4
0.119011,686.3,55.1,1580.4,32.2,2231.0,344.3,3794.5,75.7,669.6,1583.5,2233.2,3824.6,96.7,69.5,3.9
0.121011,685.6,55.2,1571.8,30.5,2230.4,330.5,3782.0,62.5,669.2,1582,2230.8,3825.3,97.1,70,3.7
0.123011,683.6,55.5,1561.4,27.5,2209.7,346.7,3777.2,68.4,668.8,1580.3,2228.4,3826,97.4,70.4,3.6
0.125011,678.9,55.6,1554.6,26.0,2171.7,393.1,3778.1,93.2,668.3,1578.6,2226,3826.6,97.8,70.6,3.6
0.127011,670.8,54.8,1554.5,27.4,2124.3,458.5,3783.5,131.6,667.9,1576.9,2223.6,3827.2,98.3,70.7,4
0.129011,661.9,51.6,1561.2,30.7,2079.7,524.0,3792.5,165.1,667.5,1575,2221.2,3827.7,98.7,70.8,4.5
0.131011,657.3,47.0,1570.0,32.3,2055.9,566.0,3804.2,177.0,667.1,1573.1,2218.9,3828.2,99.2,70.9,5.1
0.133011,657.6,43.6,1575.0,31.4,2063.1,582.3,3818.2,175.4,666.7,1571.2,2216.5,3828.7,99.7,71.2,5.6
0.135011,659.1,40.5,1575.8,30.6,2106.1,577.9,3833.6,176.9,666.3,1569.2,2214.2,3829,100.2,71.6,5.7
0.137011,659.1,35.5,1573.9,30.4,2163.8,539.1,3852.8,196.7,665.9,1567.2,2211.9,3829.3,100.7,72.1,5.5
0.139011,658.9,29.9,1570.1,29.8,2201.7,479.5,3877.0,237.0,665.5,1565.1,2209.6,3829.5,101.2,72.6,4.9
0.141011,660.0,25.5,1566.4,28.6,2214.2,419.2,3896.3,281.4,665.1,1563,2207.4,3829.7,101.8,73,4.2
0.143011,662.0,22.8,1564.7,28.8,2211.9,353.4,3891.0,300.5,664.7,1560.8,2205.2,3829.7,102.3,73.3,3.7
0.145011,663.1,22.3,1565.1,31.4,2209.1,295.6,3862.2,278.8,664.3,1558.6,2203.1,3829.7,102.8,73.4,3.6
0.147011,662.0,23.2,1565.4,34.6,2207.8,260.4,3830.9,252.4,664,1556.5,2201.1,3829.6,103.4,73.4,4.1
0.149011,659.7,24.8,1563.5,34.1,2204.3,249.6,3802.2,253.1,663.6,1554.3,2199.1,3829.4,103.9,73.3,5.1
0.151011,658.3,26.8,1560.1,30.7,2203.6,251.9,3772.0,283.9,663.3,1552.1,2197.2,3829.1,104.4,73.2,6.2
0.153011,658.9,28.8,1557.2,28.7,2217.7,244.2,3751.5,327.8,663,1549.8,2195.3,3828.6,104.9,72.9,7.2
0.155011,660.4,30.1,1554.4,30.3,2242.9,215.7,3758.4,369.3,662.7,1547.6,2193.6,3828.1,105.3,72.7,7.9
0.157011,661.7,30.4,1553.2,37.3,2260.7,189.4,3796.0,402.0,662.4,1545.5,2191.9,3827.5,105.8,72.5,8.1
0.159011,663.1,31.2,1558.0,48.8,2266.5,185.4,3848.2,427.3,662.1,1543.3,2190.3,3826.8,106.2,72.4,7.9
0.161011,664.0,33.5,1568.6,56.6,2266.2,200.4,3889.2,439.8,661.9,1541.2,2188.8,3825.9,106.6,72.5,7.7
0.163011,662.4,37.0,1573.8,52.7,2266.5,210.8,3911.5,439.2,661.7,1539.1,2187.3,3825,106.9,72.7,7.5
0.165011,658.6,40.5,1568.8,41.0,2269.7,200.2,3922.2,437.9,661.5,1537,2186,3823.9,107.2,72.9,7.5
0.167011,655.9,42.8,1560.8,30.8,2273.5,184.7,3929.6,449.5,661.4,1535,2184.8,3822.8,107.5,73,8
0.169011,655.9,44.3,1553.3,25.4,2272.1,188.7,3915.1,446.1,661.3,1533,2183.7,3821.5,107.8,73,8.7
0.171011,657.5,45.4,1545.8,24.5,2258.1,223.6,3854.7,369.3,661.2,1531.1,2182.7,3820.1,108,72.9,9.5
0.173011,659.2,47.1,1535.6,26.2,2231.3,275.1,3790.1,262.4,661.1,1529.2,2181.7,3818.5,108.2,72.7,10.1
0.175011,658.9,48.4,1523.6,27.4,2206.8,326.2,3753.2,195.3,661.1,1527.4,2180.9,3816.9,108.4,72.4,10.5
0.177011,657.9,48.8,1516.5,26.6,2193.8,390.8,3736.9,173.1,661.1,1525.7,2180.2,3815.2,108.6,72,10.6
0.179011,658.4,50.5,1518.0,25.6,2191.0,476.7,3734.6,182.4,661.1,1524.1,2179.6,3813.3,108.7,71.7,10.4
0.181011,658.9,52.5,1523.4,24.9,2205.1,551.8,3745.5,210.6,661.2,1522.5,2179.1,3811.3,108.8,71.3,10.2
0.183011,656.2,50.8,1527.2,24.9,2239.1,541.8,3771.7,251.0,661.3,1521,2178.7,3809.3,108.9,71,9.9
0.185011,650.7,45.5,1525.2,26.2,2272.4,453.3,3808.2,301.4,661.5,1519.6,2178.4,3807.1,108.9,70.7,9.7
0.187011,647.4,41.6,1518.6,27.9,2292.5,379.8,3830.8,344.0,661.7,1518.3,2178.2,3804.8,109,70.6,9.7
0.189011,648.1,40.3,1512.9,27.4,2301.9,349.1,3817.6,333.5,661.9,1517.1,2178.1,3802.5,109,70.5,9.8
0.191011,652.7,41.6,1511.3,23.9,2300.8,361.2,3784.8,276.0,662.1,1516,2178,3800,109.1,70.5,9.9
0.193011,658.4,44.6,1511.6,21.0,2286.1,424.5,3754.4,227.1,662.4,1515,2178.1,3797.5,109.1,70.5,9.9
0.195011,661.6,47.8,1512.6,20.8,2250.1,560.2,3723.8,198.9,662.7,1514.1,2178.2,3794.9,109.1,70.5,9.9
0.197011,662.6,51.2,1514.9,22.8,2195.9,745.1,3690.7,186.7,663.1,1513.3,2178.5,3792.2,109.1,70.5,9.8
0.199011,663.2,54.1,1517.9,26.1,2146.8,885.8,3656.1,183.9,663.5,1512.6,2178.8,3789.5,109.1,70.3,9.7
0.201011,663.1,54.3,1518.0,30.6,2132.7,852.4,3627.8,190.8,663.9,1512.1,2179.1,3786.7,109.1,70.1,9.5
0.203011,661.3,51.7,1513.7,35.2,2128.6,719.2,3610.4,214.7,664.4,1511.6,2179.6,3783.9,109,70,9.3
0.205011,660.0,49.4,1512.0,38.6,2112.7,643.0,3613.9,264.4,664.9,1511.2,2180,3781,109,69.9,9.2
0.207011,662.0,47.9,1516.6,41.7,2101.4,617.8,3651.2,333.8,665.4,1510.9,2180.6,3778,109,70.1,9.1
0.209011,666.3,44.2,1521.2,42.2,2119.3,584.0,3718.3,380.0,666,1510.8,2181.2,3775.1,108.9,70.3,9.2
0.211011,669.3,37.2,1518.0,38.6,2161.7,514.0,3779.8,375.8,666.6,1510.7,2181.8,3772.1,108.9,70.5,9.2
