files,Gender,Age,Ethnicity,Profession,Profession_category,Age_category
bnew_01,female,23,Igbo,Radio presenter,Broadcaster,younger
bnew_02,female,47,Yoruba,Radio presenter,Broadcaster,older
bnew_03,female,NA,Yoruba,TV presenter,Broadcaster,older
bnew_04,male,NA,Yoruba,TV journalist,Broadcaster,older
bnew_05,male,NA,Yoruba,TV journalist,Broadcaster,older
bnew_06,female,37,Yoruba,TV journalist,Broadcaster,younger
bnew_07,male,NA,Yoruba,TV journalist,Broadcaster,older
bnew_08,male,NA,Yoruba,TV journalist,Broadcaster,older
bnew_09,male,NA,NA,TV journalist,Broadcaster,older
bnew_10,male,NA,Yoruba,TV journalist,Broadcaster,older
btal_36,male,35,Yoruba,Radio presenter,Broadcaster,younger
btal_22,male,76,Hausa,Politician,Politician,older
btal_21,male,54,Hausa,Politician,Politician,older
btal_04,male,53,Igbo,Politician,Politician,older
btal_01,male,42,Yoruba,Radio presenter,Broadcaster,younger
btal_33,male,46,Igbo,Politician,Politician,older
